Date,Product_ID,Product_Name,Defect_Type,Defect_Count,Inspection_Result,Audit_Score,Rework_Count,Rejection_Count,Complaint_ID,Complaint_Reason,Lab_Test_Result,Test_Batch_ID,COPQ,Compliance_Status,Cpk,Ppk,First_Pass_Yield (%)
2023-01-25,P003,Widget_C,None,37,Pass,93,16,4,CMP94510,Material Issue,Pass,TB42703,1528,Yes,1.91,1.71,94.45
2023-11-18,P001,Widget_A,Dent,4,Pass,91,13,0,CMP44708,Surface Issue,Fail,TB11938,8411,Yes,1.42,1.25,94.93
2024-06-29,P003,Widget_C,Dent,34,Pass,79,11,6,CMP62236,Dimension Error,Pass,TB51211,3838,Yes,1.14,1.91,88.1
2025-03-27,P002,Widget_B,Dent,30,Pass,94,4,5,CMP06964,Dimension Error,Pass,TB48656,7691,Yes,1.26,1.13,92.34
2024-05-23,P003,Widget_C,Crack,11,Pass,84,9,2,CMP28023,Packaging,Fail,TB84609,5633,Yes,1.06,1.65,86.38
2022-07-24,P004,Widget_D,Dent,48,Pass,74,9,8,CMP58618,Dimension Error,Fail,TB43117,9848,Yes,1.36,1.27,85.51
2022-08-04,P001,Widget_A,Scratch,18,Pass,92,5,2,CMP14561,Surface Issue,Pass,TB69787,2516,Yes,1.29,1.46,85.01
2025-03-16,P005,Widget_E,Dent,42,Pass,83,10,0,CMP81699,Material Issue,Pass,TB51065,7069,Yes,1.05,1.38,86.91
2024-03-27,P005,Widget_E,None,22,Pass,73,7,5,CMP59866,Dimension Error,Pass,TB25509,3448,Yes,1.67,1.07,93.22
2023-08-06,P001,Widget_A,Crack,45,Pass,86,16,6,CMP23444,Material Issue,Pass,TB22211,2527,Yes,1.89,1.47,90.86
2023-12-25,P002,Widget_B,Scratch,33,Pass,82,4,7,CMP60359,Material Issue,Pass,TB66659,2298,Yes,1.38,1.69,90.98
2023-02-14,P005,Widget_E,Dent,13,Pass,94,6,0,CMP34746,Packaging,Pass,TB65377,5710,Yes,1.7,1.54,96.88
2023-09-27,P005,Widget_E,Scratch,8,Pass,76,3,5,CMP46388,Dimension Error,Pass,TB79134,7026,Yes,1.87,1.53,96.98
2024-11-07,P003,Widget_C,Scratch,32,Pass,82,11,3,CMP77241,Packaging,Pass,TB24217,3117,Yes,1.83,1.77,93.31
2023-10-14,P004,Widget_D,Crack,31,Pass,86,11,3,CMP02999,Material Issue,Pass,TB91774,4801,Yes,1.22,1.76,97.6
2024-09-07,P005,Widget_E,Dent,30,Fail,98,10,2,CMP23314,Material Issue,Pass,TB72646,9804,Yes,1.06,1.39,88.46
2023-01-04,P004,Widget_D,None,20,Pass,83,2,0,CMP61400,Dimension Error,Pass,TB30601,5455,Yes,1.65,1.31,87.82
2024-10-05,P003,Widget_C,Crack,36,Pass,70,11,6,CMP48811,Material Issue,Fail,TB34832,8950,Yes,1.27,1.25,94.35
2023-02-09,P003,Widget_C,Crack,28,Pass,74,11,3,CMP24639,Dimension Error,Pass,TB69344,5777,Yes,1.71,1.64,94.57
2025-04-26,P001,Widget_A,Misalignment,22,Pass,95,13,3,CMP49536,Dimension Error,Pass,TB82323,6981,Yes,1.42,1.83,87.82
2024-07-16,P002,Widget_B,Misalignment,29,Pass,95,11,7,CMP13105,Packaging,Pass,TB70471,4177,Yes,1.2,1.36,88.51
2024-10-11,P005,Widget_E,Crack,41,Fail,85,9,2,CMP35172,Packaging,Pass,TB73828,5527,Yes,1.16,1.21,92.02
2022-08-08,P004,Widget_D,None,24,Pass,84,7,5,CMP32913,Material Issue,Pass,TB11832,5763,Yes,1.84,1.01,87.59
2024-06-19,P002,Widget_B,Scratch,26,Pass,82,0,2,CMP94933,Dimension Error,Pass,TB58513,4208,Yes,1.87,1.28,87.96
2025-04-13,P003,Widget_C,Scratch,30,Pass,88,14,0,CMP02534,Material Issue,Pass,TB08419,1268,Yes,1.04,1.74,89.86
2023-03-05,P004,Widget_D,Crack,4,Pass,84,13,9,CMP24130,Dimension Error,Pass,TB20322,2733,Yes,1.46,1.43,93.76
2024-08-11,P005,Widget_E,Scratch,21,Pass,70,4,7,CMP77406,Material Issue,Fail,TB16841,8826,Yes,1.87,1.71,85.78
2023-06-16,P004,Widget_D,Scratch,48,Pass,91,15,8,CMP52266,Packaging,Pass,TB30861,2553,Yes,1.14,1.48,95.54
2023-01-18,P002,Widget_B,None,16,Pass,72,18,2,CMP55472,Material Issue,Pass,TB35762,2184,Yes,1.06,1.2,89.56
2024-02-15,P004,Widget_D,Scratch,17,Pass,93,9,3,CMP70463,Surface Issue,Pass,TB61491,7999,Yes,1.03,1.22,85.97
2025-04-16,P005,Widget_E,None,41,Pass,73,18,0,CMP37715,Material Issue,Pass,TB31714,6692,Yes,1.15,1.35,90.99
2024-04-21,P004,Widget_D,None,22,Pass,97,16,7,CMP07123,Material Issue,Pass,TB10162,7810,Yes,1.22,1.25,97.04
2024-03-11,P001,Widget_A,Crack,44,Pass,92,8,2,CMP99638,Dimension Error,Pass,TB92640,6719,No,1.39,1.57,97.56
2023-06-05,P004,Widget_D,Crack,2,Pass,85,14,1,CMP51663,Dimension Error,Pass,TB21870,2668,Yes,1.11,1.96,85.52
2024-08-03,P003,Widget_C,Scratch,44,Pass,70,13,0,CMP73025,Surface Issue,Pass,TB60490,4444,Yes,1.21,1.78,85.27
2023-04-06,P001,Widget_A,Dent,39,Pass,94,8,8,CMP00429,Material Issue,Pass,TB76092,3555,Yes,1.2,1.73,88.49
2024-07-21,P005,Widget_E,Dent,41,Pass,99,11,5,CMP24814,Packaging,Pass,TB76321,7351,Yes,1.64,1.89,85.09
2022-07-18,P002,Widget_B,Scratch,17,Fail,87,18,4,CMP12250,Surface Issue,Pass,TB27306,5377,Yes,1.5,1.19,92.93
2023-06-22,P004,Widget_D,Crack,25,Pass,84,11,1,CMP02315,Surface Issue,Pass,TB78942,7553,Yes,1.16,1.22,86.25
2023-09-06,P003,Widget_C,None,21,Pass,95,12,2,CMP28665,Dimension Error,Pass,TB92694,4642,Yes,1.75,1.52,95.97
2023-01-11,P004,Widget_D,Misalignment,0,Pass,82,11,8,CMP13958,Packaging,Pass,TB00949,8592,Yes,1.86,1.53,91.72
2023-12-30,P004,Widget_D,Dent,4,Pass,87,16,0,CMP60807,Material Issue,Pass,TB33273,5522,Yes,1.16,1.77,87.13
2022-10-08,P003,Widget_C,Dent,26,Pass,78,0,3,CMP07907,Dimension Error,Pass,TB02766,8325,Yes,1.46,1.58,87.3
2024-06-10,P001,Widget_A,Dent,12,Pass,80,19,0,CMP07929,Packaging,Pass,TB51787,4705,Yes,1.68,1.44,85.9
2024-10-14,P005,Widget_E,Misalignment,4,Pass,80,17,8,CMP51886,Surface Issue,Pass,TB45378,5250,Yes,1.03,1.69,96.39
2025-01-22,P001,Widget_A,Crack,8,Pass,87,2,2,CMP83915,Surface Issue,Pass,TB63231,5853,Yes,1.97,1.1,87.71
2023-08-27,P003,Widget_C,Crack,27,Pass,83,14,7,CMP77973,Packaging,Fail,TB26509,5587,Yes,1.59,1.01,89.68
2023-02-28,P001,Widget_A,Crack,11,Pass,74,13,5,CMP24838,Material Issue,Pass,TB21946,3910,Yes,1.6,1.65,97.42
2025-03-15,P005,Widget_E,None,10,Pass,87,11,3,CMP29165,Surface Issue,Pass,TB86184,4639,Yes,1.89,1.05,86.96
2022-06-14,P003,Widget_C,None,13,Pass,86,0,7,CMP30329,Surface Issue,Pass,TB53549,3952,Yes,1.22,1.41,86.04
2024-01-22,P003,Widget_C,Scratch,38,Pass,87,9,7,CMP79405,Surface Issue,Pass,TB86290,9878,Yes,1.95,1.99,87.61
2023-12-13,P005,Widget_E,Dent,6,Fail,95,7,1,CMP29824,Material Issue,Pass,TB93930,4625,Yes,1.78,1.9,86.76
2025-03-20,P005,Widget_E,Misalignment,20,Pass,76,9,8,CMP97145,Surface Issue,Pass,TB84490,4948,Yes,1.65,1.33,96.89
2022-12-01,P001,Widget_A,Crack,40,Pass,97,4,2,CMP98047,Surface Issue,Pass,TB82570,7085,Yes,1.63,1.18,86.32
2024-06-09,P001,Widget_A,None,5,Fail,77,14,1,CMP09335,Dimension Error,Pass,TB32294,2697,Yes,1.03,1.02,93.44
2024-07-25,P001,Widget_A,Dent,27,Pass,98,6,2,CMP87964,Packaging,Pass,TB31546,6710,No,1.25,1.17,91.05
2023-01-14,P002,Widget_B,Dent,18,Pass,92,7,1,CMP37546,Material Issue,Pass,TB51922,5150,Yes,1.35,1.66,89.0
2024-01-18,P004,Widget_D,Scratch,47,Pass,90,10,2,CMP78156,Packaging,Pass,TB03489,3655,Yes,1.72,1.67,95.84
2024-06-18,P003,Widget_C,Misalignment,2,Pass,86,17,8,CMP01236,Surface Issue,Pass,TB17083,7507,Yes,1.05,1.46,94.43
2023-01-19,P005,Widget_E,Misalignment,19,Pass,94,2,9,CMP22012,Material Issue,Pass,TB64322,5270,Yes,1.18,1.54,89.13
2025-01-10,P005,Widget_E,Crack,26,Pass,97,3,6,CMP09757,Packaging,Pass,TB02872,7142,Yes,1.47,1.75,85.31
2023-10-01,P003,Widget_C,None,12,Pass,86,16,2,CMP65602,Material Issue,Pass,TB13993,4631,Yes,1.59,1.37,97.73
2023-08-14,P005,Widget_E,Misalignment,41,Pass,95,10,6,CMP86121,Surface Issue,Pass,TB62924,2367,Yes,1.7,1.13,93.3
2022-08-21,P002,Widget_B,Dent,45,Pass,81,9,5,CMP34890,Surface Issue,Pass,TB41906,7093,Yes,1.43,1.26,96.9
2024-09-28,P001,Widget_A,Crack,32,Fail,92,3,4,CMP67198,Dimension Error,Pass,TB29582,3465,Yes,1.26,1.25,85.13
2024-12-28,P002,Widget_B,None,3,Pass,80,17,6,CMP11072,Packaging,Pass,TB11531,3111,Yes,1.75,1.11,85.6
2024-05-28,P003,Widget_C,Crack,16,Pass,79,19,9,CMP76177,Material Issue,Pass,TB04650,4871,Yes,1.17,1.71,90.03
2024-08-28,P003,Widget_C,Scratch,44,Pass,96,5,6,CMP87724,Material Issue,Pass,TB07799,1972,Yes,1.66,1.14,94.85
2024-01-15,P005,Widget_E,Crack,24,Pass,96,8,5,CMP10778,Packaging,Pass,TB57201,3548,Yes,1.45,1.89,87.49
2022-09-22,P004,Widget_D,Scratch,17,Pass,75,8,7,CMP77404,Surface Issue,Fail,TB36866,7289,Yes,1.8,1.81,88.79
2022-09-17,P003,Widget_C,Scratch,4,Pass,93,8,9,CMP38763,Dimension Error,Pass,TB13715,5598,Yes,1.47,1.81,87.88
2025-04-06,P002,Widget_B,None,35,Pass,80,12,6,CMP30192,Surface Issue,Pass,TB90992,1056,Yes,1.7,1.1,94.68
2022-07-30,P003,Widget_C,Misalignment,10,Pass,97,1,3,CMP26977,Dimension Error,Pass,TB59972,3757,Yes,1.37,1.95,91.03
2023-07-10,P003,Widget_C,Dent,44,Pass,89,8,2,CMP76354,Material Issue,Pass,TB57437,3257,Yes,1.11,1.12,85.41
2025-01-14,P004,Widget_D,Misalignment,19,Pass,84,8,5,CMP52093,Dimension Error,Pass,TB39400,4613,Yes,1.38,1.48,91.81
2023-11-04,P002,Widget_B,None,11,Pass,87,17,8,CMP82084,Surface Issue,Pass,TB25760,5800,Yes,1.2,1.53,97.31
2024-03-26,P004,Widget_D,Misalignment,16,Pass,71,2,6,CMP29522,Dimension Error,Pass,TB20576,6624,Yes,1.04,1.37,85.86
2023-09-12,P002,Widget_B,Crack,46,Pass,79,12,8,CMP05848,Material Issue,Pass,TB78179,2678,Yes,1.78,1.55,96.64
2024-10-10,P001,Widget_A,Scratch,5,Pass,82,15,6,CMP10690,Material Issue,Pass,TB53037,4057,Yes,1.06,1.55,96.91
2024-06-19,P002,Widget_B,Dent,37,Pass,90,5,4,CMP16645,Surface Issue,Pass,TB54207,8022,Yes,1.35,1.51,91.64
2024-02-21,P002,Widget_B,Crack,15,Pass,90,5,7,CMP88781,Packaging,Pass,TB51661,1234,Yes,1.4,1.83,88.78
2024-10-28,P001,Widget_A,Misalignment,23,Pass,80,11,1,CMP14846,Surface Issue,Pass,TB35132,9529,No,1.91,1.11,95.65
2023-09-02,P002,Widget_B,Dent,22,Fail,98,19,6,CMP52121,Surface Issue,Pass,TB02109,7096,Yes,1.9,1.51,97.67
2022-09-19,P001,Widget_A,Dent,10,Fail,82,2,1,CMP89424,Surface Issue,Pass,TB19576,3421,Yes,1.77,1.59,86.55
2024-06-22,P005,Widget_E,Crack,22,Pass,95,15,4,CMP56441,Material Issue,Pass,TB21977,3949,Yes,1.38,1.3,94.19
2025-04-28,P002,Widget_B,Misalignment,48,Pass,72,6,5,CMP66204,Dimension Error,Pass,TB30513,3898,Yes,1.69,1.35,96.04
2023-02-11,P001,Widget_A,Crack,5,Pass,76,4,2,CMP66600,Surface Issue,Pass,TB13437,1835,Yes,1.53,1.66,90.41
2023-08-14,P002,Widget_B,Misalignment,23,Pass,70,4,4,CMP35679,Dimension Error,Pass,TB71808,4453,Yes,1.7,1.47,88.54
2025-01-13,P001,Widget_A,Scratch,33,Pass,93,0,5,CMP76026,Surface Issue,Pass,TB02139,2355,Yes,1.49,1.43,93.42
2024-11-27,P003,Widget_C,Scratch,38,Pass,76,11,8,CMP28564,Dimension Error,Pass,TB90653,1475,Yes,1.23,1.28,96.51
2024-07-04,P005,Widget_E,Crack,47,Pass,87,19,7,CMP06255,Dimension Error,Pass,TB70819,8438,Yes,1.75,1.87,86.69
2023-03-15,P003,Widget_C,None,26,Pass,96,3,5,CMP04238,Dimension Error,Fail,TB91764,7621,Yes,1.27,1.11,87.31
2024-08-20,P004,Widget_D,Dent,4,Pass,90,12,4,CMP44382,Dimension Error,Pass,TB29022,9943,Yes,1.03,1.34,94.09
2024-06-11,P001,Widget_A,Misalignment,0,Pass,92,17,9,CMP48121,Dimension Error,Pass,TB45976,5322,Yes,1.32,1.11,91.53
2023-07-10,P004,Widget_D,Crack,21,Pass,75,5,7,CMP99704,Surface Issue,Pass,TB83177,1836,Yes,1.6,1.41,96.53
2023-11-11,P001,Widget_A,Misalignment,48,Pass,78,13,2,CMP40978,Surface Issue,Pass,TB80942,9058,Yes,1.87,1.74,97.6
2022-08-13,P002,Widget_B,Dent,18,Pass,98,2,8,CMP32888,Surface Issue,Pass,TB61683,9642,Yes,1.82,1.39,96.9
2022-09-04,P004,Widget_D,None,46,Pass,78,18,0,CMP49673,Dimension Error,Pass,TB87150,4625,Yes,1.19,1.99,91.73
2023-05-27,P004,Widget_D,Misalignment,16,Pass,78,1,3,CMP17859,Packaging,Pass,TB07819,5822,Yes,1.71,1.92,87.84
2024-06-16,P005,Widget_E,Misalignment,0,Pass,88,4,9,CMP09513,Surface Issue,Pass,TB87701,9560,Yes,1.03,1.95,92.76
2023-10-19,P005,Widget_E,Dent,17,Pass,85,15,9,CMP04582,Dimension Error,Pass,TB83570,6932,No,1.53,1.5,89.04
2023-02-05,P005,Widget_E,Scratch,31,Pass,83,0,2,CMP21201,Material Issue,Pass,TB61118,9100,Yes,1.52,1.29,91.2
2022-08-18,P005,Widget_E,Crack,28,Pass,73,9,3,CMP06433,Dimension Error,Pass,TB67182,9656,Yes,1.91,1.94,88.96
2022-11-13,P004,Widget_D,Crack,16,Pass,70,16,9,CMP54003,Dimension Error,Pass,TB35012,4548,Yes,1.94,1.21,96.76
2024-07-27,P001,Widget_A,Dent,38,Pass,89,5,9,CMP72954,Dimension Error,Fail,TB96710,1383,Yes,1.02,1.49,85.5
2024-12-02,P002,Widget_B,Dent,25,Pass,77,19,4,CMP71627,Dimension Error,Pass,TB70754,3809,Yes,1.67,1.9,91.67
2022-05-17,P003,Widget_C,Misalignment,11,Pass,93,7,1,CMP05310,Surface Issue,Pass,TB61149,9866,Yes,1.79,1.25,88.46
2024-01-01,P005,Widget_E,None,0,Pass,70,15,4,CMP60093,Dimension Error,Pass,TB19271,7070,Yes,1.25,1.39,94.34
2023-01-15,P001,Widget_A,Scratch,12,Fail,84,4,3,CMP06155,Packaging,Pass,TB88063,8865,Yes,1.95,1.13,94.97
2023-06-14,P001,Widget_A,Scratch,0,Pass,74,8,3,CMP12674,Surface Issue,Pass,TB86336,8875,Yes,1.74,1.8,89.06
2022-07-30,P002,Widget_B,None,10,Pass,84,16,6,CMP71304,Dimension Error,Pass,TB97749,4642,Yes,1.81,1.48,85.41
2024-12-20,P001,Widget_A,Crack,42,Fail,79,10,0,CMP51477,Packaging,Pass,TB79351,7271,Yes,1.41,1.34,96.9
2023-10-11,P001,Widget_A,Misalignment,44,Pass,99,19,6,CMP13181,Surface Issue,Pass,TB41725,6726,Yes,1.97,1.29,95.17
2023-02-28,P005,Widget_E,Dent,16,Pass,89,2,6,CMP72332,Packaging,Pass,TB12527,1237,Yes,1.2,1.96,97.91
2024-03-10,P002,Widget_B,Dent,38,Pass,90,3,7,CMP10239,Material Issue,Pass,TB91328,7206,Yes,1.54,1.48,93.13
2024-11-17,P005,Widget_E,Dent,8,Fail,89,15,3,CMP22578,Material Issue,Pass,TB58203,9373,Yes,1.53,1.01,85.47
2024-10-25,P002,Widget_B,Misalignment,35,Pass,77,8,3,CMP50383,Surface Issue,Pass,TB56773,5540,Yes,1.34,1.73,97.46
2023-05-24,P001,Widget_A,Misalignment,13,Pass,89,4,9,CMP01723,Surface Issue,Pass,TB97160,3092,Yes,1.5,1.38,92.95
2025-02-02,P003,Widget_C,None,10,Pass,70,9,2,CMP22815,Packaging,Pass,TB94960,6250,Yes,1.07,1.32,85.73
2023-05-18,P002,Widget_B,Scratch,3,Pass,78,16,2,CMP79912,Material Issue,Pass,TB19844,2784,Yes,1.74,1.96,94.05
2022-06-18,P001,Widget_A,None,19,Pass,78,13,9,CMP84852,Material Issue,Pass,TB69363,7585,Yes,1.64,1.34,88.09
2023-11-22,P005,Widget_E,None,1,Pass,77,14,8,CMP57414,Material Issue,Pass,TB92936,7175,Yes,1.96,1.93,97.32
2025-03-28,P002,Widget_B,None,29,Pass,87,16,5,CMP78995,Packaging,Pass,TB43705,7539,Yes,1.31,1.06,90.17
2022-09-29,P003,Widget_C,None,32,Pass,73,18,2,CMP13701,Packaging,Pass,TB32702,1638,No,1.98,1.05,89.35
2023-11-29,P005,Widget_E,None,16,Pass,79,6,3,CMP76154,Packaging,Pass,TB64028,2156,Yes,1.81,1.92,96.25
2024-05-09,P002,Widget_B,None,49,Pass,96,10,6,CMP47514,Material Issue,Pass,TB45337,2653,Yes,1.92,1.03,89.37
2024-12-27,P003,Widget_C,Crack,19,Pass,71,17,0,CMP30873,Dimension Error,Pass,TB09545,4057,Yes,1.31,1.13,95.6
2024-05-25,P002,Widget_B,None,14,Pass,79,16,0,CMP35077,Material Issue,Pass,TB71902,8880,Yes,2.0,1.94,93.64
2022-06-30,P005,Widget_E,Crack,4,Pass,98,0,8,CMP33828,Surface Issue,Pass,TB32370,4485,Yes,1.86,1.13,94.31
2022-08-16,P001,Widget_A,Misalignment,30,Pass,80,10,0,CMP16717,Material Issue,Pass,TB00215,1150,Yes,1.62,1.99,92.5
2024-04-24,P004,Widget_D,None,31,Pass,72,17,2,CMP16517,Surface Issue,Fail,TB00313,9439,Yes,1.37,1.33,86.48
2025-01-23,P001,Widget_A,Dent,9,Pass,83,11,9,CMP61935,Dimension Error,Pass,TB47144,3345,Yes,1.11,1.52,91.78
2024-11-28,P001,Widget_A,None,45,Pass,78,9,5,CMP35237,Packaging,Pass,TB51610,2196,Yes,1.95,1.59,95.8
2023-05-07,P001,Widget_A,Crack,46,Pass,82,11,0,CMP01098,Packaging,Pass,TB40214,5268,Yes,1.79,1.32,92.94
2024-03-08,P005,Widget_E,Scratch,28,Pass,94,8,4,CMP38024,Dimension Error,Pass,TB13381,5052,No,1.57,1.42,97.18
2023-12-18,P002,Widget_B,Misalignment,23,Pass,75,13,4,CMP33768,Dimension Error,Pass,TB70054,4641,Yes,1.61,1.24,95.01
2025-02-02,P002,Widget_B,Misalignment,34,Pass,99,3,2,CMP63317,Packaging,Fail,TB29526,3132,Yes,1.23,1.86,91.78
2023-02-23,P004,Widget_D,Scratch,46,Pass,98,19,9,CMP80424,Material Issue,Pass,TB39710,2527,No,1.46,1.79,88.38
2024-03-14,P004,Widget_D,Dent,15,Pass,89,17,0,CMP62881,Material Issue,Pass,TB86582,4896,Yes,1.8,1.84,97.02
2024-11-04,P003,Widget_C,None,12,Pass,96,3,8,CMP65175,Dimension Error,Pass,TB55864,4786,Yes,1.03,1.21,92.5
2022-11-21,P005,Widget_E,None,38,Pass,96,3,3,CMP58869,Dimension Error,Pass,TB13246,7317,Yes,1.65,1.15,93.83
2024-01-05,P004,Widget_D,Misalignment,9,Pass,73,19,2,CMP87471,Surface Issue,Pass,TB41453,8969,Yes,1.97,1.42,86.38
2024-03-20,P005,Widget_E,Crack,25,Pass,71,8,0,CMP71889,Surface Issue,Pass,TB32259,4516,Yes,1.3,1.28,85.74
2022-06-25,P003,Widget_C,Crack,48,Pass,92,11,3,CMP60696,Material Issue,Pass,TB32026,3165,Yes,1.14,1.91,95.3
2023-08-31,P001,Widget_A,None,11,Pass,89,11,3,CMP05850,Surface Issue,Pass,TB05570,9433,Yes,1.96,1.33,85.01
2024-12-11,P002,Widget_B,None,18,Pass,86,6,2,CMP70639,Material Issue,Pass,TB58984,8638,No,1.96,1.09,93.29
2022-06-19,P005,Widget_E,Dent,23,Pass,70,16,1,CMP11943,Material Issue,Pass,TB60748,7127,Yes,1.05,1.75,96.05
2023-11-05,P001,Widget_A,None,5,Pass,86,0,9,CMP35620,Dimension Error,Pass,TB91304,8294,Yes,1.93,1.94,87.57
2022-05-31,P004,Widget_D,None,17,Pass,78,3,7,CMP79898,Material Issue,Pass,TB63136,9630,Yes,1.38,1.73,96.57
2023-05-21,P003,Widget_C,Dent,18,Pass,82,4,5,CMP62179,Surface Issue,Pass,TB84712,6103,Yes,1.57,1.85,85.63
2024-01-04,P004,Widget_D,Misalignment,28,Pass,71,6,7,CMP17296,Surface Issue,Pass,TB93283,8041,Yes,1.8,2.0,93.92
2022-10-10,P001,Widget_A,Crack,44,Fail,97,5,2,CMP94092,Surface Issue,Pass,TB90200,4990,Yes,1.76,1.04,97.98
2023-05-26,P001,Widget_A,Scratch,16,Pass,88,19,1,CMP73706,Material Issue,Pass,TB66183,3346,Yes,1.31,1.37,85.3
2022-12-25,P005,Widget_E,None,12,Pass,94,10,5,CMP88075,Surface Issue,Pass,TB29004,7812,Yes,1.32,1.92,87.11
2024-12-09,P001,Widget_A,Crack,19,Pass,87,11,0,CMP01654,Dimension Error,Pass,TB21432,3562,Yes,1.44,1.19,88.56
2023-07-01,P004,Widget_D,None,19,Pass,79,12,5,CMP46694,Material Issue,Pass,TB43057,5202,Yes,1.65,1.42,95.18
2025-01-11,P004,Widget_D,Crack,34,Pass,77,6,4,CMP45918,Packaging,Pass,TB31411,9608,Yes,1.29,1.17,85.48
2022-12-26,P003,Widget_C,None,7,Pass,87,13,4,CMP11824,Material Issue,Pass,TB37215,8388,Yes,1.41,1.29,94.62
2023-07-14,P005,Widget_E,Crack,14,Pass,76,15,6,CMP75586,Dimension Error,Pass,TB38588,2414,Yes,1.46,1.5,90.29
2024-04-17,P001,Widget_A,Dent,39,Pass,78,2,3,CMP67570,Packaging,Pass,TB61038,7260,Yes,1.6,1.48,91.49
2024-03-24,P003,Widget_C,None,19,Pass,97,0,4,CMP46581,Material Issue,Pass,TB45772,3184,Yes,1.77,1.16,92.26
