Date,Material_ID,Material_Name,Raw_Material_Stock,Finished_Goods_Stock,Inventory_Turnover_Ratio,Lead_Time_Days,Supplier_Name,Supplier_Rating,Purchase_Quantity,Consumption_Quantity,Order_ID,Promised_Delivery_Date,Actual_Delivery_Date,Reorder_Level,Delivery_Type
2022-10-09,MAT008,Carbon Fiber,7856,1832,6.32,16,"Hernandez, Davis and Scott",2,3243,2839,ORD99360,2022-10-14,2022-10-14,993,Outbound
2023-04-09,MAT002,Plastic,8940,1903,7.67,13,"Burns, Blake and Freeman",2,3469,2776,ORD86987,2023-04-19,2023-04-17,1323,Outbound
2022-06-05,MAT002,Plastic,4339,3611,8.1,11,Cooper LLC,2,3590,2725,ORD36602,2022-06-14,2022-06-13,1489,Inbound
2023-08-27,MAT004,Copper,4530,1391,4.56,17,Newman PLC,5,4333,3223,ORD07435,2023-09-05,2023-09-04,1935,Outbound
2024-09-22,MAT002,Plastic,6631,3053,8.65,5,Moran-Franklin,3,4561,3617,ORD17023,2024-10-04,2024-10-04,998,Inbound
2023-02-05,MAT003,Aluminum,1234,3545,5.05,13,King-Gonzalez,2,1155,973,ORD97619,2023-02-17,2023-02-17,505,Inbound
2024-01-07,MAT006,Glass,8143,2807,9.69,10,Ashley Group,5,4116,3890,ORD83050,2024-01-14,2024-01-14,1356,Inbound
2023-04-16,MAT004,Copper,1679,2325,7.93,13,"Smith, Hayes and Miller",1,1980,1786,ORD16604,2023-04-24,2023-04-25,1636,Outbound
2023-06-18,MAT009,Resin,7147,1492,10.42,6,Patrick Group,1,4150,3079,ORD06859,2023-06-27,2023-06-27,1551,Outbound
2023-05-28,MAT007,Wood,2364,3736,6.84,7,"Morris, Carter and Diaz",2,3340,2585,ORD19335,2023-06-06,2023-06-04,1689,Inbound
2022-09-18,MAT002,Plastic,7361,3984,11.91,9,"Best, Pruitt and Ross",3,3276,2297,ORD91209,2022-09-24,2022-09-25,929,Inbound
2024-10-27,MAT002,Plastic,2274,3515,10.73,13,"Moore, Jones and Moore",2,4735,4131,ORD11668,2024-11-06,2024-11-06,1655,Outbound
2023-12-24,MAT005,Rubber,3572,1626,11.04,10,Brooks Group,5,3518,2765,ORD36482,2023-12-29,2023-12-30,1521,Outbound
2024-05-12,MAT009,Resin,6276,730,6.56,8,"Williams, Wolfe and Wilson",5,2208,1567,ORD28483,2024-05-21,2024-05-19,1408,Inbound
2022-09-25,MAT004,Copper,8968,2528,8.33,9,"Gilbert, Smith and Wilson",1,4628,3796,ORD06931,2022-10-01,2022-10-03,1319,Inbound
2024-04-14,MAT006,Glass,5189,3572,8.15,5,"Ford, Harris and Perez",3,2403,2127,ORD85055,2024-04-20,2024-04-18,1837,Inbound
2025-01-26,MAT007,Wood,7316,1240,9.87,5,"Johnson, Gibbs and Malone",3,2239,1587,ORD93987,2025-02-07,2025-02-08,1100,Outbound
2024-05-26,MAT006,Glass,2345,3543,7.31,8,Garcia-Underwood,4,1435,1119,ORD21825,2024-06-02,2024-06-01,733,Outbound
2025-02-23,MAT009,Resin,4056,2085,11.46,9,Young LLC,1,1867,1757,ORD59929,2025-03-01,2025-03-03,1827,Inbound
2024-08-18,MAT007,Wood,2586,1769,10.11,9,"Bray, Dudley and Lane",3,2688,2024,ORD33358,2024-08-24,2024-08-26,1435,Outbound
2024-07-07,MAT003,Aluminum,9350,1469,6.34,18,"Craig, Thompson and Jackson",5,4095,3655,ORD08029,2024-07-12,2024-07-14,1613,Outbound
2022-07-31,MAT002,Plastic,5238,4903,5.28,5,"Brady, Liu and Bishop",1,3631,2800,ORD44790,2022-08-08,2022-08-10,693,Inbound
2024-06-16,MAT002,Plastic,4702,1154,7.23,13,"Anderson, Mcfarland and Norman",3,3516,3020,ORD37896,2024-06-23,2024-06-23,1382,Outbound
2024-03-31,MAT002,Plastic,2064,3501,4.9,19,York Ltd,2,4708,4190,ORD06343,2024-04-06,2024-04-07,1804,Inbound
2024-06-09,MAT0010,Fabric,6371,1308,8.73,19,Pittman-Jackson,2,3301,2473,ORD68546,2024-06-20,2024-06-20,1857,Outbound
2024-06-09,MAT008,Carbon Fiber,7336,1602,5.13,15,"Morris, Williams and Garner",2,1064,845,ORD58390,2024-06-21,2024-06-19,1567,Inbound
2024-04-14,MAT009,Resin,1038,2533,5.07,14,"Garcia, Drake and Mason",3,2650,2024,ORD09886,2024-04-22,2024-04-23,754,Inbound
2024-06-16,MAT003,Aluminum,3204,2305,5.11,10,Lowe-Johnston,5,1820,1652,ORD48762,2024-06-26,2024-06-28,1034,Outbound
2023-12-31,MAT007,Wood,6505,4076,11.55,17,Dickerson-Green,2,1170,923,ORD05499,2024-01-09,2024-01-08,1325,Outbound
2022-07-24,MAT005,Rubber,3647,2978,9.12,9,"Robinson, Gonzales and Alvarado",3,3056,2897,ORD34206,2022-08-03,2022-08-03,1528,Inbound
2025-04-13,MAT003,Aluminum,6250,3104,6.23,14,Collins-Brady,5,2383,2106,ORD37077,2025-04-22,2025-04-23,1019,Outbound
2023-01-01,MAT008,Carbon Fiber,7557,2783,11.36,14,Douglas-Murphy,4,2481,1808,ORD18764,2023-01-14,2023-01-12,1367,Outbound
2022-06-05,MAT007,Wood,4502,2016,7.4,9,Garcia Inc,3,2219,1643,ORD85785,2022-06-17,2022-06-16,1895,Outbound
2022-05-29,MAT006,Glass,1526,3786,9.76,19,Franklin-Hanson,1,4912,4136,ORD43565,2022-06-05,2022-06-06,802,Outbound
2024-09-08,MAT001,Steel,5267,4634,11.31,16,Sandoval-Page,2,2442,1751,ORD26539,2024-09-19,2024-09-21,1953,Outbound
2022-07-24,MAT008,Carbon Fiber,9996,950,7.72,16,Ball and Sons,3,3406,2669,ORD33828,2022-08-06,2022-08-05,1390,Outbound
2024-09-01,MAT008,Carbon Fiber,4700,2887,6.65,10,Graham LLC,2,4559,4259,ORD70349,2024-09-10,2024-09-08,911,Inbound
2022-11-27,MAT009,Resin,2094,4085,8.53,13,Johnson Ltd,1,3667,2752,ORD00483,2022-12-02,2022-12-04,1775,Outbound
2025-03-16,MAT001,Steel,4431,1047,4.96,6,Miller Ltd,1,4680,3306,ORD07958,2025-03-27,2025-03-28,947,Inbound
2023-02-05,MAT002,Plastic,5037,1633,9.43,18,Gordon Group,2,3125,2935,ORD85739,2023-02-10,2023-02-08,1354,Inbound
2022-09-25,MAT008,Carbon Fiber,5170,1479,8.4,10,Morris-Wilson,3,4388,4056,ORD54326,2022-10-07,2022-10-06,1082,Inbound
2022-12-18,MAT006,Glass,5272,3458,6.58,6,"Haynes, Goodwin and Wright",4,4172,3104,ORD60074,2022-12-28,2022-12-30,1858,Outbound
2024-10-06,MAT009,Resin,1734,2061,10.03,15,"Juarez, Brown and Mendoza",1,3382,2404,ORD96148,2024-10-14,2024-10-13,771,Outbound
2022-09-25,MAT005,Rubber,6632,2272,9.92,19,"Jackson, Ferrell and Hayes",2,3109,2469,ORD10550,2022-10-02,2022-09-30,1820,Outbound
2024-01-14,MAT004,Copper,1266,3436,7.37,17,"Evans, Rose and Sullivan",3,1766,1446,ORD18914,2024-01-25,2024-01-24,866,Outbound
2023-09-17,MAT008,Carbon Fiber,8330,3577,7.46,11,Stone LLC,2,3253,2508,ORD38401,2023-09-26,2023-09-27,1448,Outbound
2024-07-21,MAT004,Copper,4970,3711,8.16,12,Ortiz-Thomas,4,2304,1945,ORD02537,2024-07-31,2024-08-02,901,Inbound
2022-09-25,MAT007,Wood,3296,3082,8.12,8,Riley-Galvan,4,1141,1047,ORD07398,2022-10-08,2022-10-10,1909,Inbound
2023-10-15,MAT0010,Fabric,7430,1908,7.96,7,"Patrick, Hughes and Alexander",4,3923,3411,ORD63863,2023-10-27,2023-10-25,890,Outbound
2025-04-27,MAT009,Resin,6958,637,6.41,10,Good-Rodriguez,5,3808,3583,ORD41536,2025-05-05,2025-05-05,761,Outbound
2024-12-22,MAT008,Carbon Fiber,9696,3981,11.99,15,"Cobb, Carter and Singh",3,3128,2648,ORD24224,2025-01-03,2025-01-01,865,Outbound
2023-01-08,MAT005,Rubber,2957,3391,6.91,10,Hughes Group,5,3990,3437,ORD11254,2023-01-21,2023-01-22,1447,Inbound
2023-08-20,MAT006,Glass,5927,4310,11.75,17,Henry-Simon,3,3972,3203,ORD38852,2023-08-29,2023-08-31,1363,Inbound
2022-11-20,MAT007,Wood,1607,4431,10.7,5,"Marquez, Harris and Ward",1,3220,2671,ORD35643,2022-11-28,2022-11-30,1795,Outbound
2025-02-09,MAT009,Resin,4925,4554,9.04,14,Smith Inc,3,3256,3065,ORD87751,2025-02-21,2025-02-20,646,Outbound
2024-07-28,MAT008,Carbon Fiber,2064,4698,6.46,10,Harris-Harvey,3,3663,2959,ORD01705,2024-08-05,2024-08-04,1219,Outbound
2024-02-04,MAT003,Aluminum,9984,4646,11.61,11,Thomas-Reid,1,1752,1429,ORD58371,2024-02-13,2024-02-15,1368,Inbound
2024-06-30,MAT001,Steel,3882,4708,5.76,13,"Taylor, Pacheco and Fischer",2,2573,1949,ORD68957,2024-07-09,2024-07-09,1614,Outbound
2022-10-02,MAT002,Plastic,3668,4291,5.36,8,Silva-Bridges,4,2876,2080,ORD63981,2022-10-16,2022-10-16,1203,Inbound
2024-03-17,MAT009,Resin,1411,2470,11.86,7,Brown-Garner,2,1118,971,ORD20798,2024-03-23,2024-03-23,1685,Outbound
2024-04-14,MAT0010,Fabric,2503,1174,6.25,17,"Gonzalez, Hill and Myers",4,1043,843,ORD95916,2024-04-23,2024-04-25,977,Inbound
2023-02-26,MAT005,Rubber,1851,3138,8.01,16,"Robinson, Glover and Robinson",1,3015,2717,ORD53942,2023-03-08,2023-03-08,760,Outbound
2022-11-20,MAT003,Aluminum,3596,4220,10.94,5,"Lawson, Baker and Moran",5,3922,3152,ORD29420,2022-11-28,2022-11-29,1266,Inbound
2024-06-09,MAT003,Aluminum,6381,3303,7.02,11,Clark Group,4,1573,1391,ORD91675,2024-06-23,2024-06-22,934,Outbound
2022-08-28,MAT003,Aluminum,8983,1908,11.56,6,"Wright, Martinez and Perry",2,1844,1615,ORD18716,2022-09-06,2022-09-05,1484,Outbound
2023-01-15,MAT003,Aluminum,3430,633,8.41,13,Mccall-Tran,4,3443,2691,ORD71974,2023-01-27,2023-01-25,1241,Outbound
2025-04-13,MAT001,Steel,7745,629,9.03,12,Davidson-Lewis,3,2018,1703,ORD53285,2025-04-20,2025-04-20,676,Outbound
2023-03-05,MAT005,Rubber,6535,816,9.01,14,Thomas PLC,3,1500,1055,ORD06273,2023-03-11,2023-03-11,788,Inbound
2022-12-18,MAT007,Wood,8049,2565,11.35,17,"Howard, Mccullough and Barnes",3,2708,2251,ORD59465,2022-12-25,2022-12-26,628,Inbound
2025-01-12,MAT002,Plastic,6503,2860,6.42,6,White-Smith,5,1671,1312,ORD67918,2025-01-23,2025-01-22,1148,Outbound
2025-04-20,MAT003,Aluminum,7364,786,6.63,17,"Obrien, Harrell and Perez",2,3243,2415,ORD72450,2025-05-01,2025-05-01,1701,Inbound
2023-02-05,MAT004,Copper,7844,2843,5.62,18,Lane LLC,2,2202,2049,ORD44119,2023-02-15,2023-02-13,695,Inbound
2024-01-14,MAT004,Copper,3230,4554,10.52,10,Morris and Sons,4,1971,1394,ORD36438,2024-01-24,2024-01-24,1882,Outbound
2025-04-13,MAT008,Carbon Fiber,8913,1342,4.48,9,Turner-Murphy,2,3514,3050,ORD07823,2025-04-26,2025-04-26,1206,Inbound
2023-11-26,MAT007,Wood,6455,2331,5.0,13,Clark Ltd,1,3181,2576,ORD30952,2023-12-08,2023-12-08,925,Inbound
2022-06-12,MAT008,Carbon Fiber,9392,1122,5.19,17,"Foley, Kennedy and Garcia",5,3737,2931,ORD10664,2022-06-17,2022-06-18,1909,Outbound
2024-09-29,MAT002,Plastic,7881,4790,7.69,5,Greer-Pena,1,2758,2017,ORD58380,2024-10-12,2024-10-13,1123,Inbound
2023-03-19,MAT003,Aluminum,5195,562,7.37,13,Tapia-Harris,5,1392,1001,ORD75858,2023-03-26,2023-03-27,1400,Outbound
2022-10-02,MAT003,Aluminum,1686,607,9.51,18,Garcia-Reynolds,4,3233,2714,ORD99725,2022-10-09,2022-10-09,1270,Inbound
2024-11-24,MAT009,Resin,3291,4585,10.26,15,Garcia Inc,1,1375,1148,ORD60774,2024-12-03,2024-12-04,994,Inbound
2023-10-15,MAT006,Glass,7117,4982,10.63,14,Lee PLC,4,2088,1625,ORD58613,2023-10-27,2023-10-29,1278,Inbound
2024-10-20,MAT001,Steel,5444,2196,9.62,7,Newman-Carlson,1,3324,2887,ORD13272,2024-10-28,2024-10-26,1952,Outbound
2022-08-28,MAT001,Steel,1067,4125,9.76,15,Norris LLC,2,3695,3380,ORD70162,2022-09-11,2022-09-11,1675,Inbound
2023-12-17,MAT003,Aluminum,5837,785,6.49,11,"Hernandez, Watkins and Armstrong",4,3651,2560,ORD56186,2023-12-25,2023-12-26,755,Outbound
2023-11-26,MAT006,Glass,1256,3961,5.08,9,Baker-Branch,4,4759,4144,ORD09240,2023-12-07,2023-12-05,1787,Inbound
2024-06-23,MAT001,Steel,7866,2494,5.32,15,Davis LLC,1,4540,3468,ORD66427,2024-07-06,2024-07-05,1720,Inbound
2022-06-19,MAT004,Copper,8060,3816,8.01,15,"Holland, West and Grant",2,1221,955,ORD62808,2022-07-02,2022-06-30,725,Inbound
2024-05-12,MAT0010,Fabric,3326,2489,10.24,13,"Wilson, Harris and Ford",5,1014,766,ORD76496,2024-05-24,2024-05-23,839,Inbound
2023-07-16,MAT001,Steel,7985,1121,11.93,14,Gutierrez-Alexander,5,4917,4142,ORD84308,2023-07-27,2023-07-29,1910,Outbound
2023-10-01,MAT003,Aluminum,7694,2380,9.16,5,Jordan-Randolph,2,4263,3661,ORD06747,2023-10-06,2023-10-07,1690,Outbound
2023-01-01,MAT004,Copper,7709,2939,10.42,11,Morales Group,4,2893,2677,ORD85577,2023-01-10,2023-01-12,1908,Outbound
2022-07-31,MAT005,Rubber,8417,2846,4.87,6,Meyer-Barker,5,1706,1434,ORD55680,2022-08-12,2022-08-12,710,Inbound
2024-06-09,MAT003,Aluminum,1878,2001,11.81,7,Hill Ltd,5,3648,2836,ORD60765,2024-06-22,2024-06-20,569,Outbound
2025-04-27,MAT005,Rubber,1059,2140,8.47,18,Kerr Inc,2,1866,1384,ORD81323,2025-05-04,2025-05-02,1577,Outbound
2024-02-11,MAT008,Carbon Fiber,8479,2353,5.25,14,Austin-Henry,3,2800,2170,ORD08093,2024-02-24,2024-02-23,1032,Inbound
2024-03-03,MAT003,Aluminum,2281,4459,10.27,16,Phelps-Scott,1,4338,3107,ORD26700,2024-03-15,2024-03-16,651,Outbound
2022-12-11,MAT006,Glass,6563,3857,8.98,10,Ramos-Adams,4,1924,1410,ORD54071,2022-12-21,2022-12-21,680,Outbound
2023-08-27,MAT009,Resin,2836,4012,11.75,8,"Young, Huerta and Matthews",1,2480,1773,ORD29783,2023-09-09,2023-09-09,1077,Inbound
2023-10-15,MAT004,Copper,3876,4890,4.77,18,Allen Inc,3,4644,4081,ORD43216,2023-10-25,2023-10-26,1969,Inbound
2024-03-10,MAT008,Carbon Fiber,2724,4547,9.77,13,Holt-Small,3,4682,3987,ORD97565,2024-03-22,2024-03-22,1286,Outbound
2023-11-12,MAT002,Plastic,9940,4113,7.35,9,Douglas-Nguyen,1,2590,2273,ORD07964,2023-11-25,2023-11-27,960,Outbound
2024-11-03,MAT007,Wood,8264,4121,6.92,5,"Francis, Gray and Chen",4,3249,2291,ORD28496,2024-11-12,2024-11-11,1749,Inbound
2022-09-18,MAT005,Rubber,2234,4099,8.39,18,Harrington and Sons,5,1520,1190,ORD77109,2022-09-28,2022-09-28,537,Inbound
2022-08-28,MAT003,Aluminum,2824,4704,6.84,13,Kennedy-Harper,2,1762,1309,ORD38937,2022-09-05,2022-09-05,1788,Inbound
2022-12-11,MAT0010,Fabric,3118,4757,9.12,10,Young-Thomas,3,1933,1784,ORD78311,2022-12-25,2022-12-23,645,Outbound
2024-02-04,MAT003,Aluminum,2173,1491,9.6,10,Edwards LLC,2,4837,3535,ORD30634,2024-02-15,2024-02-14,1254,Outbound
2024-10-13,MAT007,Wood,6550,3822,10.19,16,Brennan-Fox,4,1234,1152,ORD40547,2024-10-26,2024-10-24,1522,Inbound
2024-09-22,MAT005,Rubber,4326,977,5.13,6,Williams-Kim,3,2990,2576,ORD59731,2024-10-04,2024-10-05,626,Outbound
2023-07-30,MAT006,Glass,4841,567,6.08,11,Campbell Ltd,5,2332,2077,ORD11989,2023-08-11,2023-08-13,821,Inbound
2023-12-31,MAT007,Wood,8829,889,5.69,15,"Howard, Stephens and Watkins",1,1404,1038,ORD45415,2024-01-08,2024-01-06,1983,Outbound
2023-10-08,MAT009,Resin,9690,2614,7.72,19,"Calhoun, Bryan and Anderson",3,1007,897,ORD78312,2023-10-21,2023-10-20,1734,Outbound
2022-06-19,MAT001,Steel,7144,4612,6.94,14,Burgess-Gonzales,2,1380,987,ORD46897,2022-06-28,2022-06-26,1254,Outbound
2023-08-13,MAT002,Plastic,5916,673,6.99,12,Thomas-Gonzalez,1,4203,3391,ORD89471,2023-08-19,2023-08-20,1877,Inbound
2023-12-31,MAT006,Glass,7369,2812,6.78,19,Davis Inc,3,3393,2706,ORD83506,2024-01-12,2024-01-11,1678,Outbound
2025-04-06,MAT003,Aluminum,6557,2572,9.02,12,Blevins and Sons,3,1485,1042,ORD90448,2025-04-19,2025-04-20,1427,Inbound
2025-04-13,MAT009,Resin,4389,4264,5.96,11,Kane LLC,4,1275,963,ORD91786,2025-04-21,2025-04-19,1228,Inbound
2024-08-18,MAT003,Aluminum,8789,4071,9.66,11,Lawrence Ltd,3,3143,2616,ORD09186,2024-09-01,2024-09-01,1156,Outbound
2023-08-06,MAT0010,Fabric,7582,1109,7.28,12,Franklin Ltd,4,1277,987,ORD40064,2023-08-16,2023-08-14,905,Outbound
2023-02-12,MAT006,Glass,5041,1416,10.15,13,Hammond-Ellis,1,2141,1595,ORD75339,2023-02-24,2023-02-25,1192,Outbound
2023-08-27,MAT001,Steel,9546,2927,9.11,13,"Howard, Anderson and Moore",4,3346,2579,ORD87294,2023-09-02,2023-09-04,1058,Inbound
2024-01-07,MAT007,Wood,7721,4737,8.61,13,Forbes-Perkins,2,4408,3870,ORD03890,2024-01-17,2024-01-18,1158,Outbound
2022-10-16,MAT002,Plastic,6863,4712,11.3,16,"Clark, Parrish and Nelson",4,2114,1669,ORD20369,2022-10-21,2022-10-19,525,Outbound
2023-01-22,MAT006,Glass,9968,3059,5.74,12,Reynolds-Mcdowell,4,4054,3142,ORD63392,2023-01-28,2023-01-28,637,Outbound
2024-10-20,MAT0010,Fabric,8015,3878,7.41,9,Michael Ltd,1,3492,3230,ORD06687,2024-10-30,2024-10-29,647,Outbound
2024-09-01,MAT002,Plastic,8549,1319,8.57,17,Bailey-Mccall,2,1183,937,ORD97764,2024-09-07,2024-09-07,1289,Outbound
2025-03-30,MAT006,Glass,8790,1334,8.63,13,Austin-King,1,1647,1277,ORD52022,2025-04-04,2025-04-02,1473,Outbound
2025-02-09,MAT007,Wood,5487,3106,6.28,10,Smith-Miller,4,4054,3680,ORD98028,2025-02-19,2025-02-18,1077,Outbound
2024-09-22,MAT007,Wood,6620,2727,8.98,12,"Gonzalez, Smith and Pena",1,1095,897,ORD23938,2024-10-02,2024-09-30,529,Inbound
2024-03-24,MAT002,Plastic,7310,3268,10.91,7,"Lopez, Brown and Hammond",2,2930,2193,ORD10610,2024-04-05,2024-04-07,1524,Outbound
2024-03-03,MAT003,Aluminum,1741,1414,7.51,11,"Wilson, Rodriguez and Merritt",3,1179,859,ORD56514,2024-03-15,2024-03-13,1508,Outbound
2025-01-26,MAT001,Steel,4413,1768,6.56,18,"Jones, Harris and Torres",2,3745,2776,ORD19053,2025-02-01,2025-01-30,1726,Inbound
2022-09-11,MAT005,Rubber,7373,704,9.13,16,Knight Group,2,3035,2271,ORD06944,2022-09-23,2022-09-22,927,Inbound
2023-08-27,MAT001,Steel,2549,3244,8.15,14,"Rodriguez, Walsh and Foster",4,2538,1891,ORD55948,2023-09-02,2023-09-03,1982,Outbound
2022-10-09,MAT009,Resin,8256,3579,10.06,14,Lloyd PLC,2,4936,4629,ORD81068,2022-10-18,2022-10-18,1827,Inbound
2025-02-09,MAT008,Carbon Fiber,4164,4859,11.81,8,Ramirez-Powers,4,1029,894,ORD76695,2025-02-23,2025-02-24,1620,Inbound
2023-07-30,MAT003,Aluminum,1421,1466,5.04,5,"Hickman, Smith and Crawford",1,4150,3238,ORD79307,2023-08-05,2023-08-04,1887,Outbound
2023-02-19,MAT004,Copper,7779,3830,7.44,16,Rose Ltd,4,2351,1989,ORD64968,2023-03-02,2023-02-28,1526,Inbound
2022-09-04,MAT006,Glass,9367,614,9.78,8,Williams PLC,5,4348,3565,ORD52157,2022-09-18,2022-09-18,1680,Inbound
2023-06-18,MAT002,Plastic,9457,2745,5.56,7,Wiggins and Sons,4,3578,2930,ORD15009,2023-06-24,2023-06-22,1883,Inbound
2023-03-26,MAT001,Steel,8122,2128,4.67,11,"Collins, Johnson and Palmer",5,1054,859,ORD49112,2023-04-08,2023-04-08,1115,Inbound
2023-09-17,MAT006,Glass,9481,4523,4.05,19,Huang LLC,3,2973,2342,ORD67605,2023-09-23,2023-09-21,1888,Inbound
2023-12-31,MAT0010,Fabric,8728,3988,7.22,16,"Chang, Russell and Jennings",3,4171,2996,ORD21402,2024-01-14,2024-01-16,1123,Inbound
2023-10-29,MAT004,Copper,3861,4901,4.39,5,Bennett Inc,5,1412,1295,ORD33937,2023-11-11,2023-11-11,1808,Outbound
2023-12-24,MAT006,Glass,9574,2669,9.89,14,Jacobs-Martinez,5,4268,4007,ORD86461,2024-01-04,2024-01-06,1487,Outbound
2024-05-12,MAT007,Wood,7328,4406,8.9,18,Taylor-Whitaker,5,1627,1189,ORD22875,2024-05-22,2024-05-20,1811,Inbound
2022-05-08,MAT009,Resin,7899,3224,9.54,13,Nelson Inc,3,4972,3763,ORD71669,2022-05-16,2022-05-15,1132,Outbound
2025-02-02,MAT001,Steel,7350,1066,4.09,12,"Jones, Russell and Williams",3,4296,3055,ORD94661,2025-02-09,2025-02-11,1979,Inbound
2024-03-17,MAT001,Steel,5392,1707,8.99,6,Morales Inc,3,1719,1430,ORD76758,2024-03-30,2024-04-01,1597,Outbound
2022-12-11,MAT003,Aluminum,9909,3625,7.95,9,Stark-Dudley,4,2910,2038,ORD77239,2022-12-19,2022-12-17,1127,Outbound
2023-06-04,MAT007,Wood,4925,2614,10.39,8,"Thompson, Delgado and Rice",4,3980,3607,ORD99488,2023-06-17,2023-06-17,1501,Outbound
2025-03-30,MAT006,Glass,3865,3117,7.01,18,Curry-Garrett,2,3002,2748,ORD34186,2025-04-08,2025-04-08,1581,Outbound
2023-02-12,MAT008,Carbon Fiber,4394,3576,7.97,15,Morris LLC,1,1962,1597,ORD30495,2023-02-26,2023-02-25,1818,Outbound
2023-04-09,MAT002,Plastic,3780,1075,11.03,14,Williams-Jones,5,3324,2997,ORD70644,2023-04-17,2023-04-17,1081,Inbound
2022-06-05,MAT003,Aluminum,5913,1910,5.57,6,"Zamora, Cortez and Hernandez",2,4479,4134,ORD04245,2022-06-15,2022-06-15,1399,Outbound
2023-01-08,MAT0010,Fabric,2214,3030,4.17,6,"Jackson, Harrison and Douglas",1,2010,1553,ORD54049,2023-01-15,2023-01-15,1199,Inbound
2024-12-22,MAT008,Carbon Fiber,6160,2350,8.67,8,"Luna, Harris and Jordan",4,4302,3115,ORD05023,2024-12-30,2024-12-29,1824,Inbound
2024-03-17,MAT001,Steel,7011,4919,6.38,12,Pham-Mccullough,2,2480,2127,ORD24508,2024-03-29,2024-03-28,1618,Outbound
2024-06-30,MAT0010,Fabric,5860,3884,7.94,6,"Brown, Hawkins and Carson",2,4511,3732,ORD89462,2024-07-10,2024-07-11,1287,Outbound
2022-08-07,MAT009,Resin,1317,3914,10.63,15,Marshall-Waller,3,2774,2241,ORD40023,2022-08-14,2022-08-12,927,Inbound
2023-02-26,MAT003,Aluminum,6541,4473,8.3,13,Rodriguez LLC,5,1338,1261,ORD50629,2023-03-05,2023-03-05,936,Inbound
2023-05-21,MAT004,Copper,6673,4452,8.25,18,Booker Inc,3,1578,1335,ORD09677,2023-06-04,2023-06-04,1395,Outbound
2022-07-03,MAT006,Glass,9179,3773,7.39,7,"Francis, Gordon and Griffin",4,4198,3985,ORD14592,2022-07-10,2022-07-10,1892,Outbound
2024-08-04,MAT007,Wood,1726,538,5.29,14,Davidson Ltd,3,1571,1396,ORD69169,2024-08-17,2024-08-17,893,Inbound
