Date,Product_ID,Product_Name,COGM,Product_Profit,Product_Loss,ROI (%),Equipment_ID,Department_Name,Department_Cost,Budget,Actual_Spend,Working_Capital,Cash_Flow_Amount,Risk_Level
2022-05-01,P004,Widget_D,476101,30773,1937,17.8,EQ9430,Quality,214246,251560.45,222529.72,716412,189006,Low
2022-09-01,P003,Widget_C,155895,29644,4048,6.88,EQ2997,Assembly,250857,298029.78,232178.32,662717,195210,Medium
2023-08-01,P001,Widget_A,106376,29795,1722,17.08,EQ5791,Logistics,378575,440280.97,402832.82,937797,63572,Low
2023-04-01,P001,Widget_A,334225,62217,4987,6.82,EQ5436,Manufacturing,343287,380111.2,326972.13,697309,76351,High
2024-04-01,P004,Widget_D,153684,55404,4075,19.75,EQ3627,Quality,371206,437116.4,343263.35,729947,175892,Low
2023-07-01,P001,Widget_A,339812,85811,1802,10.92,EQ5983,Quality,282527,322169.35,306313.26,674270,108570,Low
2023-03-01,P002,Widget_B,319769,93179,2260,6.31,EQ3888,Manufacturing,374303,422202.06,406812.51,426059,196308,Low
2023-08-01,P001,Widget_A,230720,95760,877,18.17,EQ2231,Logistics,214427,252339.83,229898.49,723083,97512,High
2022-11-01,P001,Widget_A,282194,72137,4087,12.93,EQ6407,Logistics,263628,276972.15,252938.14,403740,194886,Low
2022-05-01,P004,Widget_D,221081,86356,3269,16.23,EQ0315,Manufacturing,332737,348348.11,329505.96,508964,74038,Low
2025-05-01,P001,Widget_A,449911,63826,328,8.82,EQ7746,Manufacturing,356958,425363.34,359475.86,868049,117501,Low
2023-03-01,P002,Widget_B,103518,23694,3375,19.02,EQ6946,Manufacturing,229389,234143.06,239453.78,592615,101487,Low
2023-07-01,P002,Widget_B,127181,84916,4611,16.16,EQ2174,Logistics,224242,256834.86,221122.72,602309,90724,Low
2022-12-01,P003,Widget_C,407879,87782,3136,9.61,EQ0223,Logistics,273463,282816.81,298668.1,777217,101723,Medium
2023-09-01,P004,Widget_D,346651,79351,751,10.88,EQ3058,Assembly,282928,331082.99,267311.7,815794,172124,Low
2024-01-01,P001,Widget_A,284071,51721,2320,18.4,EQ4822,Quality,283859,309251.46,304690.91,481938,68626,High
2023-06-01,P005,Widget_E,362643,45706,3040,19.72,EQ1477,Logistics,217987,242717.04,228447.96,435975,152379,Low
2023-05-01,P004,Widget_D,232426,28450,2979,16.44,EQ3559,Quality,323866,367973.71,355217.61,539419,55595,Low
2023-04-01,P002,Widget_B,191261,40582,1639,18.29,EQ4941,Manufacturing,241204,268180.48,254208.77,793635,163236,Low
2022-11-01,P004,Widget_D,218321,36645,4184,11.34,EQ7764,Manufacturing,341726,362444.5,338091.34,533677,179614,Low
2023-01-01,P005,Widget_E,281276,46249,182,18.76,EQ3013,Quality,266974,316929.71,242551.02,955772,159335,Low
2025-05-01,P003,Widget_C,159119,20079,3686,10.14,EQ2968,Quality,370995,413553.99,375147.21,710422,199058,Low
2024-12-01,P001,Widget_A,280023,71405,1504,11.72,EQ9287,Logistics,344649,393542.27,344230.96,644203,131313,Low
2022-09-01,P003,Widget_C,415410,64369,2389,14.98,EQ2662,Assembly,347192,371029.35,345705.49,625606,71584,High
2023-10-01,P005,Widget_E,213863,99051,2716,10.2,EQ0954,Assembly,363905,399524.61,399836.42,841739,72299,High
2023-01-01,P003,Widget_C,477650,83215,2364,5.7,EQ5592,Quality,242467,251073.96,221112.79,565702,58655,Medium
2022-11-01,P004,Widget_D,276898,96147,2147,10.94,EQ3555,Quality,348133,400610.3,327936.4,400848,181214,Low
2023-07-01,P001,Widget_A,159442,86995,1833,9.87,EQ9170,Assembly,374140,406963.84,358640.01,472911,88427,Low
2024-02-01,P005,Widget_E,340861,67262,485,18.15,EQ3719,Assembly,290685,322627.57,281496.19,552662,131747,Medium
2024-08-01,P002,Widget_B,150785,58086,508,19.52,EQ2143,Manufacturing,292511,293042.97,318274.43,842561,165002,Low
2024-12-01,P004,Widget_D,161921,24029,149,7.82,EQ7266,Logistics,369836,435919.25,349653.43,705920,161891,Low
2023-08-01,P003,Widget_C,214800,78898,3729,19.28,EQ7798,Quality,267204,305180.11,288303.84,406327,100059,Low
2022-05-01,P001,Widget_A,498367,97591,137,8.16,EQ5679,Manufacturing,272834,274690.55,290900.91,729936,78550,Low
2024-12-01,P002,Widget_B,327383,74561,1858,6.44,EQ9270,Logistics,212422,219004.14,196922.72,499319,76126,High
2023-07-01,P002,Widget_B,237107,49011,1779,9.83,EQ0118,Assembly,214606,256812.43,200769.07,611358,185087,Low
2024-06-01,P002,Widget_B,142072,56824,3104,15.05,EQ1169,Logistics,317191,317242.74,313117.7,570350,159227,Low
2024-10-01,P005,Widget_E,314176,85012,2983,12.26,EQ4969,Manufacturing,220503,222335.23,223167.19,497277,139656,Medium
2024-11-01,P003,Widget_C,232292,79540,1293,10.8,EQ4274,Logistics,244183,281959.64,252020.83,987056,72316,Low
2023-01-01,P001,Widget_A,484948,99082,3543,12.26,EQ1975,Manufacturing,389571,460120.14,359040.23,978260,138233,Low
2023-07-01,P003,Widget_C,411120,40580,764,19.92,EQ4742,Assembly,323976,338766.68,301974.16,845123,148856,Low
2024-08-01,P003,Widget_C,120972,90317,1598,8.37,EQ2241,Quality,361521,368948.42,378940.7,613099,109302,Low
2023-04-01,P002,Widget_B,199059,89636,1925,7.67,EQ7144,Logistics,397850,408859.62,365929.17,445679,96043,Medium
2023-04-01,P004,Widget_D,111392,92017,2749,13.29,EQ2090,Assembly,234764,268779.67,246112.58,704398,65884,Medium
2023-03-01,P001,Widget_A,426232,58531,2926,11.73,EQ1910,Logistics,234285,247038.57,218277.32,468711,65546,Low
2022-12-01,P001,Widget_A,291660,82199,4726,8.74,EQ4745,Assembly,307636,350409.2,291878.28,945045,60124,Medium
2024-10-01,P004,Widget_D,145467,48828,4879,5.63,EQ2327,Manufacturing,354581,356827.11,341745.03,934293,129272,High
2025-01-01,P001,Widget_A,377257,44584,3987,13.59,EQ9012,Quality,343340,395841.82,313033.42,729684,54130,Low
2023-03-01,P003,Widget_C,246124,81753,404,16.31,EQ7490,Logistics,399375,454988.08,409863.23,997016,192860,Low
2024-06-01,P001,Widget_A,139702,87322,4402,13.16,EQ5742,Logistics,267193,305178.58,258972.14,809969,175166,Medium
2025-03-01,P004,Widget_D,115433,84776,551,10.96,EQ7190,Assembly,296365,317140.58,299608.26,776388,176759,Low
2022-07-01,P005,Widget_E,209622,78162,1586,12.42,EQ6006,Quality,289536,315225.06,286776.05,766290,103683,Low
2024-05-01,P003,Widget_C,138186,65751,132,5.68,EQ4949,Assembly,317127,333988.88,347786.87,689019,65881,Low
2024-08-01,P004,Widget_D,272004,67495,297,6.69,EQ2314,Logistics,274095,311157.83,296907.66,925575,165671,Medium
2022-05-01,P003,Widget_C,348628,94807,2400,13.93,EQ1317,Quality,246386,248053.27,249989.48,702325,163559,Low
2024-04-01,P002,Widget_B,465124,82315,18,17.15,EQ2713,Logistics,340376,379279.21,348902.33,675335,186414,High
2024-11-01,P003,Widget_C,357601,95121,396,13.29,EQ8267,Manufacturing,228915,250754.02,231861.1,931473,102460,High
2022-12-01,P001,Widget_A,421696,86999,2187,10.16,EQ4273,Quality,291708,292857.92,318710.71,993877,81060,Low
2024-12-01,P002,Widget_B,127087,85059,2718,13.23,EQ8739,Quality,335608,345962.69,363107.48,550099,77551,Medium
2024-08-01,P002,Widget_B,193628,87188,402,8.08,EQ8791,Manufacturing,320363,323136.9,328582.28,936680,196729,Low
2023-04-01,P001,Widget_A,425110,56637,962,13.42,EQ2503,Quality,381437,391897.09,356577.87,491924,172874,Medium
2025-04-01,P002,Widget_B,310005,96973,1684,7.82,EQ0175,Logistics,218394,229269.27,218742.83,895288,63709,Medium
2022-05-01,P005,Widget_E,109577,36719,1109,6.27,EQ4985,Logistics,290202,327941.07,264362.76,923534,81889,Medium
2022-09-01,P003,Widget_C,241756,73425,1066,13.68,EQ5252,Manufacturing,236473,271405.73,256191.84,630534,82329,Medium
2023-06-01,P005,Widget_E,331738,75275,3228,8.57,EQ9554,Manufacturing,365417,406030.8,400151.49,728229,110868,Low
2023-02-01,P004,Widget_D,431629,60887,3777,8.94,EQ4403,Manufacturing,359608,426256.45,370765.03,609769,67339,Medium
2024-09-01,P001,Widget_A,402887,44047,4012,11.01,EQ1516,Quality,272720,310341.42,273776.16,893293,122497,Medium
2024-10-01,P003,Widget_C,416596,66324,4440,12.24,EQ1836,Manufacturing,210663,242429.59,225302.3,793505,137170,Medium
2023-09-01,P001,Widget_A,405306,89637,117,6.44,EQ2959,Quality,257071,258300.27,265096.18,724358,124226,Low
2024-03-01,P002,Widget_B,281565,30348,4082,6.63,EQ4199,Quality,361617,381032.79,379488.97,677283,105838,Medium
2023-07-01,P005,Widget_E,416487,34706,329,8.46,EQ6793,Quality,393832,456432.8,417300.12,828083,89727,Low
2025-04-01,P005,Widget_E,151277,40865,1780,9.56,EQ5879,Manufacturing,343457,366008.23,346030.6,623331,114851,Low
2023-05-01,P001,Widget_A,127349,57495,922,19.53,EQ1611,Manufacturing,353996,408363.74,371687.68,458181,154940,High
2023-05-01,P005,Widget_E,397407,53893,2617,6.1,EQ8382,Manufacturing,260997,308318.13,261601.24,415996,115336,Medium
2024-03-01,P004,Widget_D,235412,98530,2228,17.9,EQ8133,Assembly,349720,360318.06,359486.57,632381,88569,Medium
2024-12-01,P004,Widget_D,475388,58876,597,17.38,EQ1086,Logistics,325150,377092.59,316144.23,894018,199442,High
2023-05-01,P004,Widget_D,331418,63613,2322,7.57,EQ8256,Assembly,242904,254425.98,238163.32,732925,127303,Medium
2022-09-01,P001,Widget_A,144592,78474,1813,15.13,EQ4608,Assembly,390274,467204.61,376711.37,655264,97744,Low
2024-11-01,P002,Widget_B,403609,74049,2861,15.61,EQ1652,Assembly,261454,274751.03,251415.4,441693,63822,Low
2023-06-01,P001,Widget_A,435907,44113,1572,13.85,EQ2560,Quality,221432,254617.28,225476.23,968320,117860,Low
2022-10-01,P004,Widget_D,115470,35649,4380,17.36,EQ4718,Manufacturing,288702,344356.69,264248.58,886472,191471,Medium
2024-04-01,P002,Widget_B,279163,31492,4272,11.71,EQ0866,Manufacturing,244778,292450.19,229182.63,731412,199002,Medium
2022-12-01,P004,Widget_D,282348,72680,3198,16.36,EQ9885,Logistics,201261,220793.62,192508.42,702145,174382,High
2024-03-01,P005,Widget_E,301761,93806,4979,10.74,EQ7499,Logistics,381658,453226.43,412558.6,419985,53800,Low
2023-10-01,P002,Widget_B,229160,31701,1434,18.64,EQ7410,Logistics,267226,285186.41,292208.47,718820,179467,Low
2023-06-01,P003,Widget_C,187600,42659,3166,16.31,EQ1486,Quality,307137,363261.72,305892.52,569942,163639,Low
2023-08-01,P002,Widget_B,122689,90205,4211,14.19,EQ9603,Quality,307058,330967.36,288454.93,760739,162293,Medium
2023-08-01,P003,Widget_C,120560,80871,4490,14.03,EQ8203,Assembly,264208,286978.78,239752.66,892131,119115,Low
2022-06-01,P003,Widget_C,334021,55710,2499,7.65,EQ7685,Quality,211837,233964.03,231824.68,693645,168011,High
2023-06-01,P002,Widget_B,375512,30382,4059,16.11,EQ1483,Logistics,274547,293570.54,253020.63,441492,196780,Low
2023-03-01,P003,Widget_C,217717,52964,732,15.6,EQ7575,Manufacturing,202767,236725.18,205533.22,564776,168660,Low
2024-08-01,P002,Widget_B,150337,33750,4879,19.31,EQ6525,Quality,381597,421358.41,378053.83,516946,146203,Low
2022-12-01,P003,Widget_C,289175,98183,1007,18.62,EQ7254,Quality,303280,333670.17,287644.13,867542,114900,Low
2025-03-01,P005,Widget_E,287935,47407,2852,13.04,EQ8845,Assembly,381257,405550.85,392557.07,577474,77871,Low
2023-01-01,P003,Widget_C,204519,47556,4925,17.53,EQ6357,Manufacturing,320212,350606.12,308816.49,688072,113489,Medium
2023-09-01,P004,Widget_D,303270,65338,3386,19.46,EQ5349,Manufacturing,303847,312092.39,329941.01,966972,114728,Low
2022-12-01,P002,Widget_B,121070,25597,2196,18.5,EQ7578,Manufacturing,365582,393700.84,329515.75,953348,93171,Medium
2023-10-01,P004,Widget_D,193735,74060,1407,17.82,EQ7425,Assembly,246423,273184.09,231657.63,615866,131286,High
2023-08-01,P002,Widget_B,187454,86019,3559,8.43,EQ5912,Manufacturing,242768,278298.44,224331.61,841019,138724,High
2023-06-01,P005,Widget_E,362430,89168,3542,9.14,EQ3889,Quality,226400,235803.74,243066.81,795723,120912,Low
2024-04-01,P003,Widget_C,453357,20989,2468,17.24,EQ0977,Assembly,290212,332226.47,311120.96,442021,173340,Medium
2023-06-01,P002,Widget_B,363161,93261,4722,17.29,EQ3282,Assembly,320228,362125.08,291850.05,770461,105612,Low
2022-09-01,P004,Widget_D,377030,52613,3028,17.28,EQ2500,Logistics,261059,263920.13,258028.52,769825,85894,High
2023-07-01,P005,Widget_E,480158,91355,4494,16.17,EQ9322,Manufacturing,262174,306051.47,250998.93,585597,139465,Medium
2023-05-01,P005,Widget_E,405925,91955,3653,16.63,EQ9819,Manufacturing,216562,255061.1,196316.12,525172,190532,Low
2024-01-01,P004,Widget_D,140093,79734,2250,17.66,EQ9958,Quality,253223,260497.14,252105.22,521948,74764,Low
2022-05-01,P004,Widget_D,135740,56584,4616,12.23,EQ7779,Assembly,204874,227546.98,223066.06,561747,131392,Low
2023-06-01,P001,Widget_A,391566,79488,1854,17.41,EQ3695,Quality,219895,257722.83,228001.78,719553,128543,Low
2023-06-01,P004,Widget_D,448198,47143,4418,15.35,EQ6822,Logistics,388510,442068.87,377465.7,861684,129423,Low
2024-07-01,P001,Widget_A,252464,21731,648,17.36,EQ8118,Assembly,220722,264444.81,237140.67,591451,134677,Low
2025-03-01,P004,Widget_D,404429,43999,951,18.07,EQ9935,Quality,202588,225296.75,220458.76,639406,123701,Low
2023-02-01,P003,Widget_C,146925,93591,3294,5.12,EQ0261,Quality,320766,353921.83,292180.01,728183,109114,Low
2024-04-01,P003,Widget_C,446911,61337,4521,6.13,EQ9800,Manufacturing,231458,235414.23,239618.84,908775,134695,Low
2023-02-01,P004,Widget_D,215603,52191,2376,9.04,EQ7900,Manufacturing,355266,355357.9,344204.87,429340,129062,Medium
2022-05-01,P002,Widget_B,122188,41893,414,15.73,EQ6846,Logistics,311519,331737.27,339188.01,481076,53806,Low
2024-10-01,P003,Widget_C,211012,36658,2357,9.86,EQ0640,Logistics,364748,408788.48,343173.75,517114,193703,Low
2023-12-01,P002,Widget_B,255224,36497,1208,17.06,EQ7222,Assembly,318668,327931.19,291052.97,746195,186596,Medium
2024-08-01,P003,Widget_C,220269,49861,1275,7.38,EQ0984,Logistics,370559,394238.82,370309.58,596300,187148,Low
2023-02-01,P004,Widget_D,172239,69654,1326,6.93,EQ4815,Manufacturing,301914,358387.62,320429.62,490032,93069,Low
2024-12-01,P002,Widget_B,427050,94713,276,7.55,EQ0041,Logistics,398401,454013.9,368217.66,920001,65139,Low
2022-10-01,P001,Widget_A,164286,70406,2417,18.83,EQ8794,Manufacturing,305819,320937.97,322678.19,708790,126414,High
2023-05-01,P005,Widget_E,354309,56661,377,18.97,EQ1157,Manufacturing,332370,362280.4,321470.69,767840,57167,Low
2023-03-01,P003,Widget_C,142127,22298,38,8.14,EQ3612,Assembly,281476,320624.41,294108.54,630817,130884,Low
2024-03-01,P003,Widget_C,203008,51228,1494,5.16,EQ8569,Assembly,389556,439860.54,377661.97,815775,146133,Medium
